,HINCP,NP,AGEP,RAC1P,ESR,SEX,WIF,HUPAC,HHT,PUMA,ST
0,5,3,18,1,3,2,2,4,1,1201,24
1,3,5,12,9,0,1,3,4,1,1201,24
2,3,5,12,9,0,1,3,4,1,1201,24
3,3,5,13,7,0,1,3,4,1,1201,24
4,5,3,24,1,6,2,2,4,1,1201,24
5,3,5,12,4,0,1,3,4,1,1201,24
6,4,5,9,6,0,1,2,4,1,1201,24
7,5,3,2,1,0,2,2,1,1,1201,24
8,5,4,3,1,0,2,2,1,1,1201,24
9,5,3,20,1,4,2,2,4,1,1201,24
10,6,3,29,3,6,2,2,4,1,1201,24
11,5,3,2,1,0,2,2,2,1,1201,24
12,4,5,5,3,0,1,2,3,1,1201,24
13,4,5,2,1,0,1,2,2,1,1201,24
14,5,3,17,1,3,2,2,4,1,1201,24
15,3,5,11,6,0,1,2,4,1,1201,24
16,5,3,16,1,2,2,2,4,1,1201,24
17,5,4,0,1,0,1,2,1,1,1201,24
18,3,4,12,9,0,1,3,4,1,1201,24
19,5,4,0,1,0,2,2,1,1,1201,24
20,5,4,0,1,0,2,2,1,1,1201,24
21,3,5,12,9,0,1,3,4,1,1201,24
22,5,3,17,1,3,2,2,4,1,1201,24
23,3,5,11,8,0,1,3,4,1,1201,24
24,4,5,9,4,0,1,2,3,1,1201,24
25,5,4,0,1,0,2,2,1,1,1201,24
26,5,3,19,1,3,2,2,4,1,1201,24
27,3,5,12,9,0,1,3,4,1,1201,24
28,3,5,12,6,0,1,3,4,1,1201,24
29,6,3,22,1,5,2,2,4,1,1201,24
30,5,4,0,1,0,1,2,1,1,1201,24
31,4,5,0,1,0,1,3,1,1,1201,24
32,6,2,38,8,6,2,2,4,3,1201,24
33,4,5,8,4,0,1,2,3,1,1201,24
34,5,3,5,1,0,2,2,2,1,1201,24
35,5,3,17,1,3,2,2,4,1,1201,24
36,5,3,16,1,2,2,2,4,1,1201,24
37,4,5,3,1,0,1,2,2,1,1201,24
38,5,4,0,1,0,1,2,1,1,1201,24
39,5,4,0,1,0,1,2,1,1,1201,24
40,5,3,20,1,4,2,2,4,1,1201,24
41,5,4,0,1,0,1,3,1,1,1201,24
42,4,5,11,1,0,1,2,3,1,1201,24
43,5,4,0,1,0,1,2,1,1,1201,24
44,3,5,12,9,0,1,2,4,1,1201,24
45,3,5,12,6,0,1,3,4,1,1201,24
46,6,3,32,6,6,2,2,4,2,1201,24
47,6,3,27,2,6,2,2,4,1,1201,24
48,3,5,13,8,0,1,3,4,1,1201,24
49,5,3,3,1,0,2,2,2,1,1201,24
50,4,5,3,1,0,1,2,2,1,1201,24
51,5,3,21,1,4,2,2,4,1,1201,24
52,3,5,13,9,0,1,3,4,1,1201,24
53,3,5,12,7,0,1,3,4,1,1201,24
54,6,3,31,6,6,2,2,4,1,1201,24
55,3,5,13,9,0,1,3,4,1,1201,24
56,5,3,6,1,0,2,2,2,1,1201,24
57,3,5,13,9,0,1,3,4,1,1201,24
58,3,5,12,9,0,1,3,4,1,1201,24
59,3,5,12,9,0,1,3,4,1,1201,24
60,6,3,22,1,5,2,2,4,1,1201,24
61,5,3,17,1,2,2,2,4,1,1201,24
62,3,5,13,9,0,1,3,4,1,1201,24
63,6,2,40,7,6,2,2,4,3,1201,24
64,6,3,33,6,6,2,2,4,2,1201,24
65,3,5,12,9,0,1,3,4,1,1201,24
66,4,5,9,3,0,1,2,3,1,1201,24
67,6,3,29,4,6,2,2,4,1,1201,24
68,4,5,8,3,0,1,2,3,1,1201,24
69,5,4,2,1,0,2,2,1,1,1201,24
70,5,3,16,1,2,2,2,4,1,1201,24
71,5,3,18,1,3,2,2,4,1,1201,24
72,3,5,12,9,0,1,3,4,1,1201,24
73,3,5,12,9,0,1,3,4,1,1201,24
74,6,2,43,7,6,2,2,4,3,1201,24
75,5,4,0,1,0,2,2,1,1,1201,24
76,3,5,12,9,0,1,3,4,1,1201,24
77,4,5,0,1,0,1,2,2,1,1201,24
78,5,3,9,1,0,2,2,3,1,1201,24
79,5,3,13,1,1,2,2,4,1,1201,24
80,6,3,29,3,6,2,2,4,1,1201,24
81,3,5,12,9,0,1,3,4,1,1201,24
82,6,2,51,6,6,2,2,4,3,1201,24
83,3,5,12,9,0,1,3,4,1,1201,24
84,5,4,0,1,0,1,2,1,1,1201,24
85,5,3,5,1,0,2,2,2,1,1201,24
86,3,5,13,6,0,1,3,4,1,1201,24
87,6,3,26,1,6,2,2,4,1,1201,24
88,3,5,15,9,0,1,2,4,1,1201,24
89,3,5,11,8,0,1,3,4,1,1201,24
90,6,3,23,1,5,2,2,4,1,1201,24
91,5,3,13,1,1,2,2,4,1,1201,24
92,5,3,14,1,1,2,2,4,1,1201,24
93,5,3,24,1,6,2,2,4,1,1201,24
94,5,3,26,1,6,2,2,4,1,1201,24
95,5,3,0,1,0,2,2,1,1,1201,24
96,5,3,13,1,1,2,2,4,1,1201,24
97,5,3,17,1,2,2,2,4,1,1201,24
98,6,3,28,5,6,2,2,4,1,1201,24
99,5,4,0,1,0,2,2,1,1,1201,24
100,4,5,0,1,0,1,3,1,1,1201,24
101,6,3,34,8,6,2,2,4,2,1201,24
102,3,5,12,9,0,1,3,4,1,1201,24
103,5,3,9,1,0,2,2,3,1,1201,24
104,3,5,13,7,0,1,3,4,1,1201,24
105,4,5,6,2,0,1,2,3,1,1201,24
106,6,3,32,5,6,2,2,4,1,1201,24
107,3,5,12,8,0,1,3,4,1,1201,24
108,3,5,12,9,0,1,3,4,1,1201,24
109,5,3,22,1,5,2,2,4,1,1201,24
110,6,3,31,6,6,2,2,4,1,1201,24
111,3,5,13,4,0,1,3,4,1,1201,24
112,4,5,5,5,0,1,2,3,1,1201,24
113,6,3,32,5,6,2,2,4,1,1201,24
114,5,3,3,1,0,2,2,2,1,1201,24
115,4,5,4,1,0,1,3,1,1,1201,24
116,5,3,17,1,2,2,2,4,1,1201,24
117,4,5,0,1,0,1,3,1,1,1201,24
118,4,5,3,6,0,1,2,3,1,1201,24
119,3,5,12,9,0,1,3,4,1,1201,24
120,5,3,15,1,2,2,2,4,1,1201,24
121,5,3,5,1,0,2,2,2,1,1201,24
122,6,3,27,2,6,2,2,4,1,1201,24
123,4,5,10,3,0,1,2,3,1,1201,24
124,3,5,12,7,0,1,3,4,1,1201,24
125,4,5,3,1,0,1,3,1,1,1201,24
126,5,4,0,1,0,2,2,1,1,1201,24
127,3,5,12,9,0,1,3,4,1,1201,24
