,HINCP,NP,AGEP,RAC1P,ESR,SEX,WIF,HUPAC,HHT,PUMA,ST
0,4,4,39,2,1,1,3,3,1,1202,24
1,4,3,50,1,2,1,3,4,1,1202,24
2,3,3,54,2,5,2,2,3,2,1202,24
3,3,3,38,2,1,2,3,3,3,1202,24
4,4,5,26,2,1,2,3,2,1,1202,24
5,4,3,52,1,3,1,3,4,1,1202,24
6,4,4,43,1,2,1,3,4,1,1202,24
7,3,4,34,2,1,2,3,2,3,1202,24
8,4,4,34,2,1,1,3,3,2,1202,24
9,4,4,38,2,1,1,3,3,1,1202,24
10,4,4,41,2,3,2,3,3,1,1202,24
11,4,4,27,2,1,1,3,3,1,1202,24
12,4,4,34,2,2,2,3,3,1,1202,24
13,4,4,34,2,1,1,3,3,1,1202,24
14,5,3,44,1,1,1,3,4,1,1202,24
15,3,3,55,2,5,2,2,3,1,1202,24
16,4,5,24,2,1,2,3,2,1,1202,24
17,4,3,45,1,2,1,3,4,1,1202,24
18,4,4,34,2,1,2,3,2,3,1202,24
19,4,4,33,2,1,2,3,2,2,1202,24
20,4,4,27,2,1,1,3,3,1,1202,24
21,4,4,28,2,1,1,3,3,1,1202,24
22,5,3,37,1,1,2,4,4,1,1202,24
23,3,3,67,2,6,2,1,4,2,1202,24
24,5,4,37,1,1,1,3,4,1,1202,24
25,3,3,58,2,6,2,2,4,1,1202,24
26,3,3,40,2,4,1,2,4,3,1202,24
27,3,2,74,1,6,1,1,4,1,1202,24
28,3,3,53,1,5,1,2,4,3,1202,24
29,4,4,25,2,1,2,3,2,3,1202,24
30,4,4,28,2,1,2,3,2,2,1202,24
31,3,4,34,2,1,2,3,3,3,1202,24
32,5,5,26,2,1,2,3,2,1,1202,24
33,4,4,31,2,1,1,3,3,1,1202,24
34,4,3,52,2,5,2,2,3,1,1202,24
35,3,2,72,1,6,1,2,4,1,1202,24
36,5,3,37,1,1,1,4,4,1,1202,24
37,4,5,25,2,1,2,3,2,1,1202,24
38,4,4,24,2,1,1,3,2,1,1202,24
39,4,3,48,1,2,1,3,4,1,1202,24
40,4,5,26,2,1,1,3,2,1,1202,24
41,3,4,23,2,1,1,3,3,3,1202,24
42,3,3,69,2,6,2,2,4,3,1202,24
43,4,5,22,2,1,1,3,2,1,1202,24
44,4,5,28,2,1,1,3,3,1,1202,24
45,3,4,42,2,2,2,3,3,3,1202,24
46,4,4,30,2,1,1,3,3,3,1202,24
47,4,4,34,2,1,1,3,3,1,1202,24
48,5,4,34,1,1,1,3,4,1,1202,24
49,4,4,40,2,2,2,3,4,1,1202,24
50,4,3,53,2,5,2,2,4,1,1202,24
51,4,4,22,2,1,1,3,2,2,1202,24
52,4,4,31,2,1,1,3,3,1,1202,24
53,4,5,24,2,1,1,3,2,1,1202,24
54,5,4,29,2,1,1,3,3,1,1202,24
55,3,4,37,2,2,2,3,3,3,1202,24
56,4,4,30,2,1,1,3,3,1,1202,24
57,4,3,54,1,3,1,2,4,1,1202,24
58,4,3,47,1,2,1,3,4,1,1202,24
59,4,4,41,2,3,2,3,3,1,1202,24
60,4,4,37,2,3,2,3,2,1,1202,24
61,5,4,29,2,1,2,3,3,1,1202,24
62,5,3,45,1,1,1,3,4,1,1202,24
63,3,3,71,2,6,2,1,4,1,1202,24
64,5,4,33,1,1,1,3,3,1,1202,24
65,4,5,23,2,1,1,3,2,1,1202,24
66,4,4,28,2,1,1,3,3,1,1202,24
67,4,5,24,2,1,2,3,2,1,1202,24
68,4,4,24,2,1,2,3,2,2,1202,24
69,5,4,27,2,1,1,3,3,1,1202,24
70,4,3,48,2,4,2,3,3,1,1202,24
71,3,3,58,2,6,2,2,4,1,1202,24
72,4,4,31,2,2,2,3,2,1,1202,24
73,4,4,26,2,1,2,3,2,3,1202,24
74,3,4,35,2,1,2,3,3,3,1202,24
75,4,4,30,2,1,1,3,3,1,1202,24
76,4,4,48,2,5,2,3,3,1,1202,24
77,4,4,34,2,2,2,3,3,1,1202,24
78,4,3,58,2,6,2,2,4,1,1202,24
79,4,4,31,2,1,1,3,3,2,1202,24
80,4,3,68,1,5,1,2,4,1,1202,24
81,4,4,37,2,2,2,3,3,1,1202,24
82,4,4,23,2,1,2,3,2,2,1202,24
83,3,3,41,2,3,1,2,4,3,1202,24
84,3,3,56,2,5,2,2,3,3,1202,24
85,3,3,63,2,6,2,2,4,1,1202,24
86,5,3,39,1,1,1,3,4,1,1202,24
87,4,4,31,2,1,1,3,3,1,1202,24
88,3,3,67,2,6,2,2,4,1,1202,24
