,HINCP,NP,AGEP,RAC1P,ESR,SEX,WIF,HUPAC,HHT,PUMA,ST
0,5,4,25,1,1,2,3,2,1,1203,24
1,5,3,44,1,2,1,3,4,1,1203,24
2,4,2,58,1,6,2,2,4,1,1203,24
3,5,4,26,1,1,1,3,2,1,1203,24
4,4,2,65,1,5,1,1,4,1,1203,24
5,5,3,39,1,3,2,3,3,1,1203,24
6,5,4,21,2,1,1,3,2,1,1203,24
7,5,4,22,1,1,2,3,2,1,1203,24
8,5,4,28,1,1,2,3,2,1,1203,24
9,5,4,24,1,1,2,3,2,1,1203,24
10,5,3,32,1,1,2,3,3,1,1203,24
11,5,3,49,1,5,2,2,4,1,1203,24
12,5,3,35,1,1,2,3,3,1,1203,24
13,5,4,23,1,1,2,3,2,1,1203,24
14,5,3,42,1,2,2,3,4,1,1203,24
15,5,3,46,1,0,1,3,4,1,1203,24
16,5,2,55,1,1,1,3,4,1,1203,24
17,4,4,26,2,2,2,3,2,2,1203,24
18,4,2,68,1,6,1,1,4,1,1203,24
19,5,4,31,1,1,1,3,3,1,1203,24
20,5,4,30,1,1,2,3,2,1,1203,24
21,5,3,44,1,3,2,3,4,1,1203,24
22,5,3,50,1,2,1,2,4,1,1203,24
23,5,3,43,1,4,2,3,3,1,1203,24
24,5,4,23,1,1,2,3,2,1,1203,24
25,5,4,26,1,1,2,3,2,1,1203,24
26,5,4,24,2,1,1,3,2,1,1203,24
27,5,3,35,1,1,1,3,3,1,1203,24
28,5,3,35,2,2,1,3,3,1,1203,24
29,5,3,36,1,2,2,3,3,1,1203,24
30,5,4,33,1,1,1,3,3,1,1203,24
31,3,3,33,1,2,2,2,2,3,1203,24
32,5,4,24,2,1,1,3,2,1,1203,24
33,5,4,27,2,1,1,3,2,1,1203,24
34,5,4,22,1,1,2,3,2,1,1203,24
35,5,4,23,2,1,1,3,2,1,1203,24
36,5,4,23,2,1,1,3,2,1,1203,24
37,5,4,29,1,1,1,3,2,1,1203,24
38,5,3,46,1,4,2,2,4,1,1203,24
39,5,3,43,1,1,2,3,4,1,1203,24
40,5,3,39,1,2,2,3,3,1,1203,24
41,5,3,37,1,1,1,3,3,1,1203,24
42,5,3,37,1,2,2,3,3,1,1203,24
43,5,3,36,1,1,1,3,3,1,1203,24
44,5,4,23,2,1,2,3,2,1,1203,24
45,3,3,31,2,2,2,2,2,3,1203,24
46,5,3,39,1,2,1,3,3,1,1203,24
47,5,4,30,1,1,2,3,3,1,1203,24
48,4,4,22,3,1,1,2,2,2,1203,24
49,5,4,24,2,1,1,3,2,1,1203,24
50,5,4,31,1,1,1,3,2,1,1203,24
51,5,4,27,1,1,2,3,3,1,1203,24
52,5,4,32,1,2,2,3,3,1,1203,24
53,5,3,42,1,1,1,3,4,1,1203,24
54,5,3,43,1,0,1,3,4,1,1203,24
55,5,3,45,1,3,1,2,4,1,1203,24
56,5,3,41,1,3,1,3,3,1,1203,24
57,5,4,22,1,1,2,3,2,1,1203,24
58,5,4,31,1,1,1,3,3,1,1203,24
59,5,4,27,1,1,2,3,3,1,1203,24
60,5,4,30,1,1,1,3,3,1,1203,24
61,5,3,37,1,2,1,3,3,1,1203,24
62,5,4,25,1,1,2,3,2,1,1203,24
63,5,4,23,2,1,1,3,2,1,1203,24
64,5,3,40,2,3,1,3,3,1,1203,24
65,5,4,26,1,1,2,3,2,1,1203,24
66,5,4,26,1,1,2,3,2,1,1203,24
67,5,4,23,2,1,2,3,2,1,1203,24
68,4,4,26,1,1,1,3,2,2,1203,24
69,5,4,31,1,1,1,3,3,1,1203,24
70,5,4,28,1,1,1,3,2,1,1203,24
71,5,4,23,1,1,2,3,2,1,1203,24
72,5,3,37,1,2,2,3,3,1,1203,24
73,5,3,47,1,4,2,2,4,1,1203,24
74,4,4,22,3,1,1,3,2,2,1203,24
75,5,4,30,1,1,1,3,3,1,1203,24
76,5,4,22,2,1,1,3,2,1,1203,24
77,5,3,48,1,3,2,3,4,1,1203,24
78,5,4,25,1,1,2,3,2,1,1203,24
79,4,2,67,1,5,1,1,4,1,1203,24
80,5,4,22,2,1,1,3,2,1,1203,24
81,4,4,25,2,2,2,2,2,3,1203,24
82,4,2,58,1,5,1,2,4,1,1203,24
83,4,3,23,2,1,1,2,3,3,1203,24
84,5,4,26,1,1,1,3,2,1,1203,24
85,5,3,40,1,1,1,3,3,1,1203,24
86,5,3,40,1,3,1,3,3,1,1203,24
87,5,4,25,1,1,1,3,2,1,1203,24
88,5,4,27,1,1,1,3,2,1,1203,24
89,5,3,37,1,2,2,3,3,1,1203,24
90,4,3,23,3,2,1,2,2,3,1203,24
91,5,4,26,1,1,1,3,2,1,1203,24
92,5,3,35,1,1,1,3,3,1,1203,24
93,5,4,24,2,1,2,3,2,1,1203,24
94,5,4,23,2,1,2,3,2,1,1203,24
95,5,3,36,1,1,2,3,3,1,1203,24
96,5,4,28,1,1,1,3,2,1,1203,24
97,3,3,30,2,2,2,2,2,3,1203,24
98,5,3,33,1,1,2,3,3,1,1203,24
99,3,3,21,2,1,1,2,3,3,1203,24
100,4,2,63,1,4,1,2,4,1,1203,24
101,5,3,34,1,1,1,3,3,1,1203,24
102,5,3,44,1,2,2,3,4,1,1203,24
103,4,2,71,1,6,2,1,4,1,1203,24
104,5,4,30,1,1,1,3,3,1,1203,24
105,4,4,29,2,2,2,2,2,3,1203,24
106,4,2,60,1,5,1,2,4,1,1203,24
107,5,4,27,1,1,1,3,2,1,1203,24
108,5,4,31,1,1,1,3,3,1,1203,24
109,4,3,27,2,2,2,2,2,3,1203,24
110,5,4,31,1,1,1,3,3,1,1203,24
111,5,3,47,1,4,2,2,4,1,1203,24
112,3,3,28,2,2,2,2,2,3,1203,24
113,5,2,57,1,1,1,2,4,1,1203,24
114,5,3,37,1,1,2,3,3,1,1203,24
115,5,3,46,1,3,2,3,4,1,1203,24
116,3,3,35,2,3,2,2,3,3,1203,24
117,4,2,61,1,5,1,2,4,1,1203,24
118,5,4,30,2,1,1,3,2,1,1203,24
119,5,3,35,1,1,1,3,3,1,1203,24
120,5,4,22,1,1,2,3,2,1,1203,24
121,4,2,61,1,6,2,1,4,1,1203,24
122,5,3,45,1,2,1,3,4,1,1203,24
123,5,4,25,1,1,2,3,2,1,1203,24
124,4,2,59,2,6,2,2,4,1,1203,24
125,3,3,34,2,2,2,2,3,3,1203,24
126,5,3,35,1,2,2,3,3,1,1203,24
127,5,4,26,1,1,1,3,2,1,1203,24
128,5,4,22,1,1,2,3,2,1,1203,24
129,5,4,23,2,1,2,3,2,1,1203,24
130,5,3,46,1,3,2,3,4,1,1203,24
131,5,3,41,1,1,1,3,3,1,1203,24
132,5,3,35,1,1,1,3,3,1,1203,24
133,5,4,24,1,1,2,3,2,1,1203,24
134,4,3,51,1,4,1,2,4,1,1203,24
135,3,3,31,1,1,2,2,2,3,1203,24
136,5,3,36,1,2,2,3,3,1,1203,24
137,5,3,39,1,3,2,3,3,1,1203,24
138,5,3,42,2,3,2,3,3,1,1203,24
139,5,4,31,1,1,1,3,3,1,1203,24
140,5,4,29,1,1,2,3,3,1,1203,24
141,5,3,49,1,2,2,3,4,1,1203,24
142,3,3,30,2,2,2,2,2,3,1203,24
143,5,4,26,1,1,1,3,2,1,1203,24
144,5,4,23,2,1,2,3,2,1,1203,24
145,5,3,34,1,1,2,3,3,1,1203,24
146,5,3,34,1,1,1,3,3,1,1203,24
147,5,4,23,1,1,2,3,2,1,1203,24
148,5,4,31,1,1,1,3,3,1,1203,24
149,5,3,36,1,1,1,3,3,1,1203,24
150,5,4,29,2,2,2,3,2,1,1203,24
151,5,3,39,1,1,2,3,3,1,1203,24
152,5,4,23,1,1,2,3,2,1,1203,24
153,5,4,30,2,2,2,3,2,1,1203,24
154,4,3,26,2,2,2,2,2,3,1203,24
155,5,4,28,1,1,1,3,2,1,1203,24
156,5,3,50,1,5,2,2,4,1,1203,24
