,HINCP,NP,AGEP,RAC1P,ESR,SEX,WIF,HUPAC,HHT,PUMA,ST
0,5,3,28,1,1,1,3,2,1,1204,24
1,4,2,69,1,6,1,1,4,1,1204,24
2,4,2,63,1,6,2,2,4,1,1204,24
3,5,3,40,2,1,1,3,3,1,1204,24
4,5,3,26,1,1,2,3,2,1,1204,24
5,3,3,48,1,4,2,2,3,3,1204,24
6,5,2,60,1,5,2,2,4,1,1204,24
7,5,3,24,1,1,1,3,2,1,1204,24
8,5,3,24,2,1,1,3,2,1,1204,24
9,5,3,32,1,1,2,3,2,1,1204,24
10,5,3,38,1,1,1,3,3,1,1204,24
11,5,3,25,1,1,2,3,2,1,1204,24
12,3,3,34,2,2,2,3,2,3,1204,24
13,5,3,39,1,1,1,3,3,1,1204,24
14,4,2,71,1,6,1,1,4,1,1204,24
15,5,3,32,1,1,1,3,3,1,1204,24
16,4,3,29,2,1,1,3,2,1,1204,24
17,5,3,37,1,1,1,3,3,1,1204,24
18,5,3,22,1,1,1,3,2,1,1204,24
19,4,3,53,1,4,2,2,4,3,1204,24
20,4,2,66,1,6,2,2,4,2,1204,24
21,5,3,40,2,1,1,3,3,1,1204,24
22,5,3,29,2,1,1,3,2,1,1204,24
23,5,3,46,1,1,2,3,3,1,1204,24
24,4,2,64,1,6,1,2,4,1,1204,24
25,5,3,23,1,1,1,3,2,1,1204,24
26,4,3,35,2,2,2,2,2,3,1204,24
27,3,3,26,2,2,1,3,2,3,1204,24
28,4,2,61,1,6,2,2,4,2,1204,24
29,4,2,72,1,6,1,1,4,1,1204,24
30,4,3,40,2,2,1,3,4,2,1204,24
31,5,3,48,1,2,2,3,4,1,1204,24
32,5,3,23,2,1,1,3,2,1,1204,24
33,4,3,25,2,1,2,2,2,3,1204,24
34,5,3,29,1,1,1,3,2,1,1204,24
35,5,3,22,2,1,2,3,2,1,1204,24
36,4,2,56,1,5,1,2,4,2,1204,24
37,5,3,35,2,2,2,3,3,1,1204,24
38,4,3,31,2,2,2,3,2,2,1204,24
39,5,3,38,2,2,2,3,3,1,1204,24
40,4,2,68,1,6,2,1,4,1,1204,24
41,4,3,42,2,2,2,3,3,3,1204,24
42,5,3,47,1,1,1,3,4,1,1204,24
43,5,3,30,1,1,1,3,2,1,1204,24
44,5,3,28,1,1,1,3,2,1,1204,24
45,5,3,28,1,1,2,3,2,1,1204,24
46,4,3,35,2,1,1,3,3,1,1204,24
47,5,3,49,1,1,1,3,4,1,1204,24
48,3,3,26,2,2,2,2,2,3,1204,24
49,4,2,55,1,5,2,2,4,3,1204,24
50,5,3,22,1,1,2,3,2,1,1204,24
51,5,3,23,1,1,1,3,2,1,1204,24
52,5,3,45,1,1,2,3,4,1,1204,24
53,5,3,24,2,1,1,3,2,1,1204,24
54,4,2,68,1,6,2,1,4,1,1204,24
55,5,3,27,1,1,2,3,2,1,1204,24
56,4,3,37,2,2,2,3,3,3,1204,24
57,4,2,60,1,6,2,2,4,2,1204,24
58,5,3,22,1,1,2,3,2,1,1204,24
59,5,2,52,1,2,1,3,4,1,1204,24
60,5,3,23,1,1,2,3,2,1,1204,24
61,4,2,49,1,4,1,3,4,2,1204,24
62,5,3,36,1,1,1,3,3,1,1204,24
63,4,3,25,2,1,2,3,2,2,1204,24
64,5,3,24,1,1,1,3,2,1,1204,24
65,4,2,61,1,6,2,2,4,2,1204,24
66,5,3,23,2,1,1,3,2,1,1204,24
67,4,3,37,2,2,2,3,3,2,1204,24
68,5,2,50,1,2,2,3,4,1,1204,24
69,5,3,39,1,1,2,3,3,1,1204,24
70,5,3,35,2,1,1,3,3,1,1204,24
71,5,3,26,1,1,2,3,2,1,1204,24
72,5,2,50,1,1,1,3,4,1,1204,24
73,5,3,22,1,1,2,3,1,1,1204,24
74,5,3,24,2,1,1,3,2,1,1204,24
75,5,3,49,1,1,2,3,4,1,1204,24
76,4,3,39,2,2,2,3,3,2,1204,24
77,5,3,40,1,1,1,3,3,1,1204,24
78,4,2,66,1,6,1,2,4,1,1204,24
79,4,2,66,1,6,1,2,4,1,1204,24
80,4,3,34,2,2,2,3,2,3,1204,24
81,5,2,55,1,1,2,3,4,1,1204,24
82,5,3,41,1,1,1,3,3,1,1204,24
83,5,3,22,1,1,2,3,2,1,1204,24
84,4,2,66,1,6,2,2,4,1,1204,24
85,4,3,27,2,1,2,3,2,2,1204,24
86,5,3,33,1,1,2,3,2,1,1204,24
87,5,3,27,1,1,1,3,2,1,1204,24
88,5,2,52,1,2,2,3,4,1,1204,24
89,4,2,62,1,5,2,2,4,1,1204,24
90,5,3,34,1,1,1,3,3,1,1204,24
91,5,3,45,1,1,1,3,4,1,1204,24
92,4,3,48,1,2,2,3,4,1,1204,24
93,5,3,25,1,1,1,3,2,1,1204,24
94,5,3,31,1,1,1,3,2,1,1204,24
95,4,3,40,2,2,2,3,3,2,1204,24
96,4,2,49,1,3,2,3,4,1,1204,24
97,5,3,29,1,1,1,3,2,1,1204,24
98,5,3,45,1,1,1,3,4,1,1204,24
99,5,3,35,1,1,2,3,3,1,1204,24
100,4,3,36,2,2,2,3,3,3,1204,24
101,5,3,28,2,1,1,3,2,1,1204,24
102,5,3,22,1,1,2,3,2,1,1204,24
103,4,3,30,2,1,2,3,2,3,1204,24
104,4,2,65,1,6,2,2,4,1,1204,24
105,4,3,28,2,1,2,2,2,3,1204,24
106,5,3,39,1,1,1,3,3,1,1204,24
107,5,3,34,2,2,2,3,3,1,1204,24
108,5,3,49,1,1,2,3,4,1,1204,24
109,4,2,70,1,6,2,1,4,1,1204,24
110,4,2,70,1,6,1,1,4,1,1204,24
111,5,3,26,1,1,2,3,2,1,1204,24
112,5,2,53,1,2,2,3,4,1,1204,24
113,5,3,33,2,1,1,3,3,1,1204,24
114,4,3,41,1,2,1,3,4,2,1204,24
115,5,2,64,1,6,2,2,4,1,1204,24
116,4,2,52,1,4,2,3,4,1,1204,24
117,5,3,29,1,1,1,3,2,1,1204,24
118,4,2,71,1,6,2,1,4,1,1204,24
119,5,3,25,1,1,1,3,2,1,1204,24
120,4,2,65,1,6,1,2,4,1,1204,24
121,4,2,61,1,6,1,2,4,1,1204,24
122,4,2,68,1,6,2,1,4,1,1204,24
123,5,2,55,1,2,2,3,4,1,1204,24
124,4,3,38,2,2,2,3,3,3,1204,24
125,5,3,50,1,1,2,3,4,1,1204,24
126,4,2,75,1,6,1,1,4,1,1204,24
127,5,3,39,1,1,1,3,3,1,1204,24
128,5,3,28,2,1,1,3,2,1,1204,24
129,5,3,42,2,2,2,3,3,1,1204,24
130,5,3,40,1,1,1,3,3,1,1204,24
131,5,3,44,1,2,2,3,3,1,1204,24
132,4,2,76,1,6,1,1,4,1,1204,24
133,5,3,48,1,1,1,3,4,1,1204,24
134,5,3,23,1,1,1,3,1,1,1204,24
135,4,3,53,1,4,2,2,4,3,1204,24
136,5,3,25,1,1,2,3,2,1,1204,24
137,4,3,30,2,2,2,3,2,2,1204,24
138,4,3,29,2,1,2,3,2,3,1204,24
139,4,2,70,1,6,1,1,4,1,1204,24
140,4,2,67,1,6,2,2,4,1,1204,24
141,4,3,47,1,2,1,3,4,1,1204,24
142,5,3,36,2,1,1,3,3,1,1204,24
143,5,3,26,1,1,1,3,2,1,1204,24
144,4,2,74,1,6,1,1,4,1,1204,24
145,5,3,37,1,1,1,3,3,1,1204,24
146,5,3,25,2,1,2,3,2,1,1204,24
147,5,2,60,1,5,2,2,4,1,1204,24
148,4,2,76,1,6,1,1,4,1,1204,24
149,4,2,73,1,6,1,1,4,1,1204,24
150,4,2,70,1,6,2,1,4,1,1204,24
151,4,2,64,1,6,2,2,4,1,1204,24
152,5,3,27,1,1,1,3,2,1,1204,24
153,4,3,35,2,3,1,3,3,2,1204,24
154,5,3,22,1,1,2,3,2,1,1204,24
155,5,3,28,1,1,1,3,2,1,1204,24
156,5,3,32,1,1,1,3,2,1,1204,24
157,5,3,37,1,1,2,3,3,1,1204,24
158,5,3,31,1,1,1,3,2,1,1204,24
159,5,2,54,1,1,2,3,4,1,1204,24
160,4,3,22,2,1,1,3,2,2,1204,24
161,5,3,25,1,1,1,3,2,1,1204,24
162,5,3,23,1,1,1,3,2,1,1204,24
163,3,3,31,2,2,2,3,2,3,1204,24
164,5,3,26,2,1,1,3,2,1,1204,24
165,5,2,51,1,2,2,3,4,1,1204,24
166,4,3,49,1,4,2,2,3,3,1204,24
167,5,3,37,2,2,2,3,3,1,1204,24
168,4,3,41,2,2,2,3,3,3,1204,24
169,4,2,65,1,5,1,2,4,1,1204,24
170,4,3,24,2,1,1,3,2,3,1204,24
171,5,3,39,1,1,2,3,3,1,1204,24
172,5,3,32,1,0,1,3,2,1,1204,24
173,5,3,22,1,1,1,3,2,1,1204,24
174,5,2,52,1,1,2,3,4,1,1204,24
175,5,3,29,1,1,2,3,2,1,1204,24
176,4,3,42,1,2,1,3,4,2,1204,24
177,5,3,25,2,1,2,3,2,1,1204,24
178,4,3,22,2,1,1,3,2,2,1204,24
179,5,3,25,1,1,1,3,2,1,1204,24
180,4,2,71,1,6,1,1,4,1,1204,24
181,4,3,51,1,4,2,3,4,3,1204,24
182,5,3,38,1,1,1,3,3,1,1204,24
183,5,2,50,1,1,1,3,4,1,1204,24
184,4,2,63,1,6,2,2,4,1,1204,24
185,5,3,23,2,1,2,3,2,1,1204,24
186,4,2,68,1,6,2,1,4,1,1204,24
187,5,2,52,1,2,2,3,4,1,1204,24
188,4,3,42,1,4,1,2,3,3,1204,24
189,4,2,61,1,6,2,2,4,2,1204,24
190,5,3,24,2,1,2,3,2,1,1204,24
191,4,3,42,2,2,2,3,3,3,1204,24
192,4,2,62,1,5,1,2,4,1,1204,24
193,4,2,58,1,5,2,2,4,1,1204,24
194,5,3,31,1,1,1,3,2,1,1204,24
195,5,3,45,1,1,2,3,3,1,1204,24
196,5,3,39,2,2,2,3,3,1,1204,24
197,4,2,50,1,3,2,3,4,1,1204,24
198,5,3,34,1,1,1,3,3,1,1204,24
199,5,3,28,1,1,1,3,2,1,1204,24
200,5,3,38,1,1,1,3,3,1,1204,24
201,4,2,74,1,6,1,1,4,1,1204,24
202,5,2,59,1,4,2,2,4,1,1204,24
203,5,2,50,1,2,1,3,4,1,1204,24
204,5,3,22,1,1,2,3,2,1,1204,24
205,4,2,49,1,3,2,3,4,1,1204,24
206,5,2,67,1,6,2,2,4,1,1204,24
207,5,3,33,2,1,1,3,3,1,1204,24
208,5,3,25,2,1,1,3,2,1,1204,24
209,5,3,32,1,1,2,3,2,1,1204,24
210,5,3,50,1,1,1,3,4,1,1204,24
211,5,3,26,2,2,2,3,2,1,1204,24
212,4,3,24,2,1,1,3,2,3,1204,24
213,5,2,50,1,2,1,3,4,1,1204,24
214,5,2,64,1,5,2,2,4,1,1204,24
215,5,2,57,1,3,1,3,4,1,1204,24
216,5,3,31,2,1,1,3,3,1,1204,24
217,5,3,26,1,1,1,3,2,1,1204,24
218,5,3,21,1,1,1,3,1,1,1204,24
219,3,3,39,2,3,2,3,3,3,1204,24
220,4,2,62,1,6,2,2,4,2,1204,24
221,5,3,30,2,1,1,3,3,1,1204,24
222,5,3,26,1,1,1,3,2,1,1204,24
