,HINCP,NP,AGEP,RAC1P,ESR,SEX,WIF,HUPAC,HHT,PUMA,ST
0,4,2,68,1,8,1,1,4,1,1204,24
1,5,6,0,5,0,1,4,2,4,1204,24
2,5,5,0,4,0,1,3,2,4,1204,24
3,4,2,60,1,4,1,2,4,1,1204,24
4,5,4,0,3,1,1,2,3,1,1204,24
5,4,3,53,1,3,1,2,4,1,1204,24
6,4,2,57,1,4,1,2,4,1,1204,24
7,4,2,77,1,4,1,2,3,2,1204,24
8,5,4,0,3,0,1,3,3,1,1204,24
9,4,2,64,1,5,1,2,4,1,1204,24
10,4,3,47,1,4,1,2,4,1,1204,24
11,5,4,0,4,0,1,3,3,2,1204,24
12,4,2,64,1,6,1,2,4,1,1204,24
13,4,4,19,2,0,1,3,3,2,1204,24
14,5,4,0,2,2,1,2,4,1,1204,24
15,4,3,68,1,3,1,3,2,3,1204,24
16,5,5,0,5,0,1,3,2,3,1204,24
17,4,3,22,2,1,1,2,3,1,1204,24
18,5,6,0,5,0,1,4,2,4,1204,24
19,4,2,92,1,4,1,3,2,4,1204,24
20,4,2,67,1,5,1,2,4,1,1204,24
21,5,4,3,3,0,1,3,2,3,1204,24
22,4,4,4,3,0,1,3,2,3,1204,24
23,4,2,46,1,5,1,2,4,1,1204,24
24,5,5,0,4,0,1,3,2,2,1204,24
25,4,3,89,1,4,1,3,2,4,1204,24
26,4,5,0,4,0,1,3,2,4,1204,24
27,4,2,67,1,5,1,2,4,1,1204,24
28,4,4,15,3,0,1,3,3,2,1204,24
29,5,5,0,4,0,1,3,2,4,1204,24
30,4,2,62,1,7,1,1,4,1,1204,24
31,5,4,0,4,0,1,3,2,3,1204,24
32,4,3,22,2,1,1,2,3,1,1204,24
33,4,3,56,1,2,1,3,2,3,1204,24
34,5,5,0,4,0,1,3,3,1,1204,24
35,4,3,71,1,3,1,3,2,3,1204,24
36,5,3,9,2,2,1,2,4,1,1204,24
37,4,3,59,1,2,1,3,3,3,1204,24
38,5,5,0,5,0,1,4,2,4,1204,24
39,4,4,14,3,0,1,3,2,3,1204,24
40,4,3,43,1,1,1,3,2,3,1204,24
41,4,4,25,2,0,1,3,2,4,1204,24
42,4,3,35,1,3,1,2,4,1,1204,24
43,4,2,47,1,4,1,2,4,1,1204,24
44,4,3,41,1,1,1,3,2,3,1204,24
45,4,3,56,1,2,1,2,3,2,1204,24
46,5,4,0,4,0,1,3,2,3,1204,24
47,4,2,53,1,5,1,2,4,1,1204,24
48,5,5,0,5,0,1,3,2,4,1204,24
49,5,4,0,4,0,1,3,3,2,1204,24
50,4,2,68,1,5,1,2,4,1,1204,24
51,4,3,25,2,0,1,3,3,2,1204,24
52,5,4,0,2,1,1,2,4,1,1204,24
53,5,4,0,4,0,1,3,2,3,1204,24
54,4,3,55,1,2,1,2,3,2,1204,24
55,5,5,0,4,0,1,3,2,3,1204,24
56,4,2,65,1,4,1,2,3,2,1204,24
57,5,4,0,4,0,1,3,2,3,1204,24
58,4,2,57,1,5,1,2,4,1,1204,24
59,5,4,0,4,0,1,3,2,3,1204,24
60,5,5,0,4,0,1,3,2,4,1204,24
61,5,5,0,4,0,1,3,2,2,1204,24
62,4,3,66,1,3,1,2,3,2,1204,24
63,5,4,0,4,0,1,3,2,2,1204,24
64,4,3,75,1,3,1,2,3,3,1204,24
65,5,4,0,4,0,1,3,3,2,1204,24
